Time: 1.99, Note: d
Time: 65.77, Note: d
Time: 65.95, Note: j
Time: 66.15, Note: f
Time: 66.34, Note: k
Time: 66.53, Note: f
Time: 66.69, Note: j
Time: 66.90, Note: f
Time: 67.27, Note: k
Time: 67.57, Note: d
Time: 67.82, Note: j
Time: 68.07, Note: f
Time: 68.30, Note: j
Time: 68.57, Note: f
Time: 68.80, Note: j
Time: 68.99, Note: f
Time: 69.28, Note: j
Time: 69.56, Note: f
Time: 69.81, Note: j
Time: 70.34, Note: d
Time: 70.48, Note: f
Time: 71.03, Note: d
Time: 71.12, Note: f
Time: 71.60, Note: k
Time: 71.75, Note: j
Time: 72.35, Note: d
Time: 72.44, Note: f
Time: 72.97, Note: j
Time: 73.11, Note: f
Time: 74.55, Note: j
